IdCliente,Nombre,Apellido,Correo,Telefono,Ciudad,Estado,Pais,Activo,FechaRegistro
632,fernando,López,fernando.lopez632@ventas.net,7225340597,Toluca,Estado de México,México,1,2023-03-29
641,fernando,DÍAZ,fernando.diaz641@empresa.com,7228074002,Puebla,Puebla,México,1,2022-12-04
433,Ángel,castillo,angel.castillo433@ventas.net,7225482849,Monterrey,Nuevo León,México,1,2023-07-03
873,Sofía,Muñoz,sofia.munoz873@correo.mx,7229913106,Metepec,Estado de México,México,1,2021-10-31
612,  laura  ,De la Cruz,laura.delacruz612@example.org,7221859167,Toluca,Estado de México,México,1,2023-01-15
173,DANIELA,O'Connor,daniela.oconnor173@correo.mx,7223480171,Guadalajara,Jalisco,México,1,2022-05-06
252,MÓNICA,De la Cruz,monica.delacruz252@empresa.com,7227301676,Mérida,Yucatán,México,1,2021-03-01
857,Ana,castillo,ana.castillo857@example.org,7228325607,Toluca,Estado de México,México,1,2021-06-17
419,Luis,O'Connor,luis.oconnor419@example.org,7226544197,Mérida,Yucatán,México,1,2025-01-16
186,Carlos,  Vargas  ,carlos.vargas186@ventas.net,7227295682,Tijuana,Baja California,México,1,2025-07-23
25,Ana,García,,7226663199,Monterrey,Nuevo León,México,0,2025-05-20
259,ramón,De la Cruz,ramon.delacruz259@example.org,7226452589,Mérida,Yucatán,México,1,2021-01-11
625,Sofía,O'Connor,sofia.oconnor625@ventas.net,7221616647,Tijuana,Baja California,México,1,2024-05-30
118,DANIELA,Pérez,daniela.perez118@example.org,7229739329,Tijuana,Baja California,México,1,2025-11-23
694,José,Muñoz,jose.munoz694@ventas.net,7226189024,Monterrey,Nuevo León,México,1,2025-11-09
160,Carlos,De la Cruz,carlos.delacruz160@ventas.net,7223370532,Puebla,Puebla,México,1,2021-12-29
247,Sofía,castillo,sofia.castillo247@empresa.com,7225177878,Puebla,Puebla,México,1,2025-03-16
717,Zoë,López,zoe.lopez717@correo.mx,7222753627,León,Guanajuato,México,1,2021-05-26
777,fernando,De la Cruz,fernando.delacruz777@example.org,7224426047,CDMX,Ciudad de México,México,1,2023-02-23
268,MÓNICA,  Vargas  ,monica.vargas268@empresa.com,7222925231,Tijuana,Baja California,México,1,2022-04-30
3,Óscar,  Vargas  ,,7225389452,Monterrey,Nuevo León,México,0,2025-05-28
514,Valeria,DÍAZ,valeria.diaz514@ventas.net,7227674646,Mérida,Yucatán,México,1,2022-07-23
599,Iñaki,García,inaki.garcia599@correo.mx,7224869278,CDMX,Ciudad de México,México,1,2023-09-30
520,Luis,Hernández,luis.hernandez520@example.org,7222195364,Querétaro,Querétaro,México,1,2025-05-03
810,Óscar,Pérez,oscar.perez810@empresa.com,7229060209,CDMX,Ciudad de México,México,1,2022-11-30
74,Ana,García,,7227983261,Metepec,Estado de México,México,1,2021-03-04
24,Sofía,Pérez,,7222073240,Querétaro,Querétaro,México,0,2026-05-26
165,  laura  ,Pérez,laura.perez165@correo.mx,7227544277,Metepec,Estado de México,México,1,2021-11-21
539,  laura  ,O'Connor,laura.oconnor539@ventas.net,7228945614,Monterrey,Nuevo León,México,1,2025-12-04
115,Zoë,Hernández,zoe.hernandez115@ventas.net,7222945365,Toluca,Estado de México,México,1,2026-03-12
780,Sofía,  Vargas  ,sofia.vargas780@correo.mx,7229311583,Querétaro,Querétaro,México,1,2023-07-23
796,Luis,Sánchez,luis.sanchez796@ventas.net,7229899702,Guadalajara,Jalisco,México,1,2025-10-31
311,Zoë,Torres,zoe.torres311@empresa.com,7227440749,Monterrey,Nuevo León,México,1,2021-10-14
503,Lucía,Sánchez,lucia.sanchez503@correo.mx,7225416508,Toluca,Estado de México,México,1,2024-05-07
849,Iñaki,Ramírez,inaki.ramirez849@empresa.com,7221236929,CDMX,Ciudad de México,México,1,2025-03-13
700,MÓNICA,Hernández,monica.hernandez700@correo.mx,7229889710,León,Guanajuato,México,1,2022-01-31
220,Jorge,DÍAZ,jorge.diaz220@correo.mx,7227317596,Metepec,Estado de México,México,1,2021-08-19
554,Sofía,Martínez,sofia.martinez554@correo.mx,7223778654,Puebla,Puebla,México,1,2026-05-01
116,  laura  ,Sánchez,laura.sanchez116@empresa.com,7226132227,CDMX,Ciudad de México,México,1,2025-06-05
869,fernando,López,fernando.lopez869@empresa.com,7229196090,León,Guanajuato,México,1,2025-05-05
187,Miguel,López,miguel.lopez187@example.org,7226822121,CDMX,Ciudad de México,México,1,2021-08-26
